company.href,company.name,company.url,location,year.founded,fte,type.of.company,category,company.function,sector(s),source.of.revenue,description,short.description,social.impact,financial.info,data.collection,datasets
/1099is,1099.is,http://1099.is,NY,,,,Finance & Investment, Finance & Investment,,,,"1099.is helps people navigate the confusing tax code that applies to the self-employed, providing advice from experts and people who have been through this before in transparent, clear, simple language.",,,undocumented,"dataset.url,dataset.name
"
/1800Recyclingcom,1800Recycling.com,http://1800recycling.com,CA,,,,Environment & Weather, Environment & Weather,,,,This company is a search engine for recycling locations.,,,undocumented,"dataset.url,dataset.name
"
/3-Round-Stones-Inc,"3 Round Stones, Inc.",http://3RoundStones.com,"Washington, DC",2010,4,Private,,Data management and analysis,"Education, Energy, Environmental, Finance, Geospatial data/mapping, Health and Health Care, Scientific Research, Weather","Subscriptions, Data management and analytic services","3 Round Stones produces a leading platform for publishing data on the Web.   3 Round Stones provides commercial support for the Callimachus Data Platform, used by the Fortune 2000 and US Government Agencies publishing & consuming data.  Headquartered in Arlington Virginia, we're seasoned entrepreneurs who are passionate about solving real world problems through open data and open Web standards.","Our commercially supported Open Source platform is used by the Fortune 2000 and US Government Agencies to collect, publish and reuse data, both the public Internet and behind institutional firewalls.","3 Round Stones measures impact on society through our longtime commitment to collaboration on open Web standards.  Open Web standards are the foundation of delivering on the inventor of the World Wide Web's vision for a ""write once, run anywhere"" open Web platform.  Governments, as well as, individuals through international multi-national firms can participate in the most robust information space known to humanity.","3 Round Stones is a profitable, self-funded, woman-owned start-up.  Our team has several successful serial entrepreneurs.  As entrepreneurs, we've benefited from the valuable guidance by seasoned advisers and mentors in the mid-Atlantic region who have guided our team through multiple start-ups, outside funding and an acquisition by a Fortune 100 company in 2005.",questionnaire,"dataset.url,dataset.name
http://www2.epa.gov/toxics-release-inventory-tri-program/tri-data-and-tools,US Environmental Protection Agency (EPA) Toxics Release Inventory (TRI) Programs
http://www.epa.gov/enviro/html/fii/index.html,US Environmental Protection Agency (EPA) Facilities Registry Service (FRS)
"
/AHC-Media,AHC Media,http://www.ahcmedia.com/public/,GA,,,,Healthcare, Healthcare,,,,"For over 30 years, professionals have used AHC Media to help them manage the complex web of regulatory requirements placed upon medical providers, practitioners, and suppliers.",,,undocumented,"dataset.url,dataset.name
"
/ASC-Partners,ASC Partners,http://www.asc-partners.com,MA,,,,Data/Technology, Data/Technology,,,,"ASC helps companies improve their productivity through state-of-the-art technologies involving business process analyses, back office accounting systems, business applications, software integration, and analytical solutions.",,,undocumented,"dataset.url,dataset.name
"
/Abt-Associates,Abt Associates,http://abtassoc.com,"Cambridge, MA",1965,2500,Private,,"Public policy, research, technical assistance, and program evaluation","Agriculture, Crime, Education, Energy, Environmental, Geospatial data/mapping, Health and Health Care, Housing/Real Estate, Manufacturing, Nutrition, Scientific Research, Social Assistance, Trade",Data management and analytic services,"Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development. Known for its rigorous approach to solving complex challenges, Abt Associates is regularly ranked as one of the top 20 global research firms and one of the top 40 international development innovators.  The company has multiple offices in the U.S. and program offices in more than 40 countries.","Abt Associates is a mission-driven, global leader in research and program implementation in the fields of health, social and environmental policy, and international development.",Abt Associates has project-specific minotoring and evaluations. Environmental sustainibility metrics associated with project and corporate operations.,Employee-owned company. $552M/year,questionnaire,"dataset.url,dataset.name
http://www.census.gov/,US Census Bureau
http://www.epa.gov/IRIS/,US Environmental Protection Agency (EPA) Integrated Risk Information System (IRIS)
http://www.epa-echo.gov/echo/,US Environmental Protection Agency (EPA) Enforcement and Compliance History Online (ECHO)
http://www.medicare.gov/nursinghomecompare/search.html,Medicare Nursing Home Compare
https://hazmatonline.phmsa.dot.gov/IncidentReportsSearch/search.aspx,US Department of Transportation Pipeline and Hazardous Materials Safety Administration (PHMSA) Office of Hazardous Materials Dietary Supplement Labeling Database
http://ogesdw.dol.gov/views/data_catalogs.php,US Department of Labor Employee Benefits Security Administration (EBSA) Enforcement Data
"
/Accela,Accela,http://www.accela.com,CA,,,,Governance, Governance,,,,"Accela improves citizen engagement by making it easier to do government business, driving civic innovation, engaging citizens in improving their communities, and improving transparency, accuracy and accountability.",,,undocumented,"dataset.url,dataset.name
"
/Accelrys,Accelrys,http://accelrys.com,CA,,,,Scientific Research, Scientific Research,,,,"Accelrys enables scientific innovators to access, organize, analyze and share data with the goal of enhancing innovation, improving productivity and compliance, reducing costs and speeding time from lab to market.",,,undocumented,"dataset.url,dataset.name
"
/Accenture,Accenture,http://www.accenture.com/us-en/pages/index.aspx,AZ,,,,Data/Technology, Data/Technology,,,,"Accenture describes itself as a leader in providing management consulting, technology and outsourcing services.",,,undocumented,"dataset.url,dataset.name
"
/Accuweather,Accuweather,http://www.accuweather.com,PA,,,,Environment & Weather, Environment & Weather,,,,"AccuWeather descibes its mission as helping to save lives, protect property, and helping people to prosper through weather information.",,,undocumented,"dataset.url,dataset.name
"
/Acxiom,Acxiom,http://acxiom.com,AR,,,,Data/Technology, Data/Technology,,,,"Acxiom is an enterprise data, analytics and software-as-a-service company,  using data to connect people, businesses and their partners.",,,undocumented,"dataset.url,dataset.name
"
/Adaptive,Adaptive,http://www.adaptive.com,CA,,,,Business & Legal Services, Business & Legal Services,,,,"Adaptive helps organizations leverage what they have in the most optimal manner to provide a knowledge management asset that facilitates reuse, analytics and compliance throughout the organization.",,,undocumented,"dataset.url,dataset.name
"
/Adobe,Adobe,http://www.adobe.com,CA,,,,Data/Technology, Data/Technology,,,,"Adobe provides digital marketing and media solutions with tools and services that allow customers to create digital content, deploy it across media and devices, and measure and optimize it over time for greater business success.",,,undocumented,"dataset.url,dataset.name
"
/Ag-Professional,Ag Professional,http://www.agprofessional.com,KS,,,,Food & Agriculture, Food & Agriculture,,,,"AgProfessional provides agronomic and business management solutions to retailers/distributors, professional farm managers and crop consultants, to help increase production and profitability in the food, fiber and energy markets.",,,undocumented,"dataset.url,dataset.name
"
/Agilix,Agilix,http://agilix.com,PA,,,,Education, Education,,,,"Agilix was founded in 2001 by the principals who built first Folio and then Ancestry.com, who then focused on the rapidly changing education market, creating BrainHoney, Buzz, and the Extensible Learning Infrastructure, or xLi.",,,undocumented,"dataset.url,dataset.name
"
/Aidin,Aidin,http://www.myaidin.com,NY,,,,Healthcare, Healthcare,,,,Aidin's mission is to bring transparency to the healthcare system and empower patients with data to make more informed decisions on where they receive care.,,,undocumented,"dataset.url,dataset.name
"
/AllScripts,AllScripts,http://www.allscripts.com,IL,,,,Healthcare, Healthcare,,,,AllScript's goal is to be the most trusted provider of innovative solutions that empower stakeholders across the healthcare continuum to deliver improved outcomes.,,,undocumented,"dataset.url,dataset.name
"
/AllState-Insurance-Group,AllState Insurance Group,http://www.allstate.com,IL,,,,Insurance, Insurance,,,,"The Allstate Corporation is the largest publicly held personal, property and casualty insurer in America.",,,undocumented,"dataset.url,dataset.name
"
/Allianz,Allianz,http://www.allianzusa.com/about/?utm_campaign=Brand+%7C+ALLIANZ&utm_source=google&utm_medium=ppc&utm_term=allianz,NY,,,,Finance & Investment, Finance & Investment,,,,"Allianz provides financial services through its affiliated companies with a wide range of expertise, from active asset management to insurance for Hollywood films to strategies to help grow and protect income in retirement.",,,undocumented,"dataset.url,dataset.name
"
/Allied-Van-Lines,Allied Van Lines,http://www.allied.com,IL,,,,Transportation, Transportation,,,,"As part of Allied's moving services, the company offers customized solutions for  local, interstate and international moves.",,,undocumented,"dataset.url,dataset.name
"
/Alltuition,Alltuition,https://www.alltuition.com,IL,,,,Education, Education,,,,Alltuition enables high school students and their families to manage the financial aid process from start to finish.,,,undocumented,"dataset.url,dataset.name
"
/Altova,Altova,http://www.altova.com,MA,,,,Data/Technology, Data/Technology,,,,"Altova is a software company specializing in tools to assist developers with data management, software and application development, and data integration.",,,undocumented,"dataset.url,dataset.name
"
/Amazon-Web-Services,Amazon Web Services,http://aws.amazon.com,WA,,,,Data/Technology, Data/Technology,,,,Amazon provides cloud computing services through Amazon Web Services to a range of clients.,,,undocumented,"dataset.url,dataset.name
"
/American-Institute-of-Architects,American Institute of Architects,http://www.aia.org,DC,,,,Business & Legal Services, Business & Legal Services,,,,"Based in Washington, D.C., the AIA has been a professional membership association for licensed architects, emerging professionals, and allied partners since 1857.",,,undocumented,"dataset.url,dataset.name
"
/American-International-Group,American International Group,http://www.aig.com/home_3171_411330.html,NY,,,,Insurance, Insurance,,,,"American International Group, Inc. (AIG) is a leading international insurance organization serving commercial, institutional, and individual customers through an extensive worldwide property-casualty network.",,,undocumented,"dataset.url,dataset.name
"
/American-Red-Ball-Movers,American Red Ball Movers,http://www.redball.com,IN,,,,Transportation, Transportation,,,,Red Ball is a moving company that serves families and businesses.,,,undocumented,"dataset.url,dataset.name
"
/Amida-Tech,Amida Tech,http://www.amida-tech.net,DC,,,,Healthcare, Healthcare,,,,"Amida develops patient-centered solutions based on the Blue Button personal health record (PHR), the most popular PHR in the country.",,,undocumented,"dataset.url,dataset.name
"
/Amplify,Amplify,http://www.amplify.com,NY,,,,Education, Education,,,,Amplify is reimagining the way teachers teach and students learn using the Common Core curriculum.,,,undocumented,"dataset.url,dataset.name
"
